index;level_id;type;resource;music;word;quest;random_sort
27;9;music;bg_scene/bg_klassik.jpg;klassika/Antonio_vivaldi_vesna.ogg;Вивальди;Кто написал эту композицию?;99281
28;10;music;bg_scene/bg_klassik.jpg;klassika/hacharuryan_vals.ogg;Хачатурян;КТо написал этот вальс?;74742
29;10;music;bg_scene/bg_klassik.jpg;klassika/shubert_tretya_pesn_ellen.ogg;Третья песнь элен;Как называется эта композиция Франца Шуберта?;68259
30;10;music;bg_scene/bg_klassik.jpg;klassika/Philip_Glass_Morning.ogg;Филип Гласс;Кто написал эту композицию?;16572
31;11;music;bg_scene/bg_klassik.jpg;klassika/Philip_Glass_Koyaanisqatsi.ogg;Кояанискатси;К какому фильму написал эту композицию Филипп Гласс?;39677
32;11;music;bg_scene/bg_klassik.jpg;klassika/Alfred_Schnittke_polka.ogg;шнитке;КТо написал эту польку?;70849
33;11;music;bg_scene/bg_klassik.jpg;klassika/mocart_menuet.ogg;Моцарт;Кто написал этот менуэт?;58230
34;12;music;bg_scene/bg_klassik.jpg;klassika/strauss_tak_govoril_zaratustra.ogg;Штраус;Кто написал композицию «Так говорит Заратустра»?;67309
35;12;music;bg_scene/bg_klassik.jpg;klassika/mocart_allegro.ogg;Моцарт;Кто написал эту композицию?;70339
36;12;music;bg_scene/bg_klassik.jpg;klassika/Alfred_Schnittke_skazka_stranstviy.ogg;Сказка странствий;Для какого фильма Альфред шнитке написал эту композицию?;62893
37;13;music;bg_scene/bg_klassik.jpg;klassika/hacharuryan_tanec_s_sablyami.ogg;Танец с саблями;Как называется эта композиция?;34552
38;13;music;bg_scene/bg_klassik.jpg;klassika/volfgang_Mozart.ogg;Вольфганг Моцарт;Кто написал эту композицию?;74917
39;13;music;bg_scene/bg_klassik.jpg;klassika/Antonio_vivaldi_derevenskiy_tanec.ogg;Деревенский танец;Как называется эта композиция Антонио Вивальди?;8504
40;14;music;bg_scene/bg_klassik.jpg;klassika/franc_shubert.ogg;Шуберт;Кто написал эту композицию?;15312
41;14;music;bg_scene/bg_klassik.jpg;klassika/Philip_Glass_Prophecies.ogg;Филип Гласс;Кто написал эту композицию?;74650
