index;level_id;type;resource;word;quest
46;16;text;kino_mir/quest_46.jpg;Карл Денхэм;Кто утверждает, что «красота убила чудовище» в «Кинг-Конге»?
47;16;text;kino_mir/quest_47.jpg;Дороти Гейл;Кто намеревается встретиться с Волшебником в «Волшебнике страны Оз»?
48;16;text;kino_mir/quest_48.jpg;Ицхак Штерн;Кто помогает Оскару Шиндлеру составить его список в «Списке Шиндлера»
49;17;image;kino_mir/quest_50.jpg;Вторая жизнь Уве;Из какого фильма этот кадр?
50;17;image;kino_mir/quest_49.jpg;Шоу Трумана;Из какого фильма этот кадр?
51;17;image;kino_mir/quest_51.jpg;Двухсотлетний человек;Из какого фильма этот кадр?
52;18;text;kino_mir/quest_52.jpg;Сердце тьмы;По какой книге снят фильм «Апокалипсис сегодня»?
53;18;text;kino_mir/quest_53.jpg;Питер Бенчли;По книге какого автора снят фильм «Челюсти»?
54;18;text;kino_mir/quest_54.jpg;Грегори Пек;Кто сыграл отца и адвоката Аттикуса Финча в фильме «Убить пересмешника»?
55;19;image;kino_mir/quest_55.jpg;Малышка на миллион;Из какого фильма этот кадр?
56;19;image;kino_mir/quest_57.jpg;Игры разума;Из какого фильма этот кадр?
57;19;image;kino_mir/quest_56.jpg;По соображениям совести;Из какого фильма этот кадр?
58;20;image;kino_mir/quest_58.jpg;Молчание ягнят;Из какого фильма этот кадр?
59;20;image;kino_mir/quest_59.jpg;Люди в чёрном;Из какого фильма этот кадр?
60;20;image;kino_mir/quest_60.jpg;Бесславные ублюдки;Из какого фильма этот кадр?
61;21;text;kino_mir/quest_63.jpg;челюсти;Самый кассовый фильм 1980-х годов
62;21;text;kino_mir/quest_61.jpg;Ракель Уэлч;Постер с изображением какой красотки Энди использует, чтобы закрыть свой туннель в фильме «Побег из Шоушенка»?
63;21;text;kino_mir/quest_62.jpg;Вергилий Солоццо;Какой персонаж из «Крестного отца» известен как Турок?
64;22;text;kino_mir/quest_65.jpg;Караван;Последняя джазовая композиция, которую сыграл главный герой фильма «Одержимость»
65;22;text;kino_mir/quest_64.jpg;Курт Рассел;Какой известный актер, не указанный в титрах, озвучивал Элвиса Пресли в «Форресте Гампе»?
66;22;text;kino_mir/quest_66.jpg;Душевая кабинка;Где Джанет Ли получает ножевое ранение в «Психо» Альфреда Хичкока?
67;23;text;kino_mir/quest_67.jpg;Живой лабиринт;Где погиб Джек в фильме Сияние?
68;23;text;kino_mir/quest_68.jpg;орбита Юпитера;Где находится последний монолит в Космической одиссее 2001?
69;23;text;kino_mir/quest_69.jpg;Льюэллин Мосс;Как звали главного героя сварщика в фильме «Старикам тут не место»  
70;24;image;kino_mir/quest_71.jpg;Треугольник печали;Из какого фильма этот кадр?
71;24;image;kino_mir/quest_70.jpg;Забавные игры;Из какого фильма этот кадр?
72;24;image;kino_mir/quest_72.jpg;Танцующая в темноте;Из какого фильма этот кадр?
