index;level_id;type;resource;word;quest
61;21;text;kino_rus/quest_61.jpg;Москва слезам не верит;Советский фильм, получивший оскар
62;21;text;kino_rus/quest_62.jpg;Броненосец потёмкин;С этого фильма началась история советского кинематографа
63;21;text;kino_rus/quest_63.jpg;ох уж эта Настя;Где можно услышать песню «Лесной олень»?
64;22;text;kino_rus/quest_64.jpg;Война и мир;Советский фильм, получивший оскар
65;22;text;kino_rus/quest_65.jpg;Интернационал;Что отвечает кино-Чапаев, когда его спрашивают, за кого он, за большевиков аль за коммунистов?
66;22;text;kino_rus/quest_66.jpg;Телеоператор;Кем работал Рудольф Рачков, возлюбленный 20-летней Катерины из кинофильма «Москва слезам не верит»?
67;23;text;kino_rus/quest_68.jpg;Колчак;Про какого исторического персонажа фильм Адмирал?
68;23;text;kino_rus/quest_67.jpg;Эраст Фандорин;Главный герой фильма Турецкий Гамбит
69;23;text;kino_rus/quest_69.jpg;Иван Грозный;Про какого исторического персонажа фильм Царь?
70;24;image;kino_rus/quest_70.jpg;Возвращение;Из какого фильма этот кадр?
71;24;image;kino_rus/quest_71.jpg;Нелюбовь;Из какого фильма этот кадр?
72;24;image;kino_rus/quest_72.jpg;Изгнание;Из какого фильма этот кадр?
